Timestamp,Price,stock_volume,amount_volume
2020/9/4,17.3,6885870,118660223.5
2020/9/3,17.04,10439697,177924815.1
2020/9/2,16.78,4807281,80048609.4
2020/9/1,16.36,2849180,46279583.47
2020/8/31,16.36,6521413,107887798.2
2020/8/28,16.46,6176514,101999674.9
2020/8/27,16.22,3927580,63046248.6
2020/8/26,15.85,4311659,69569576.87
2020/8/25,16.05,3426469,54397212.51
2020/8/24,15.64,1864930,28920747.6
2020/8/21,15.48,1992790,30985335.1
2020/8/20,15.39,1495556,22887696.98
2020/8/19,15.32,1800220,27925712.6
2020/8/18,15.72,1882002,29467104.24
2020/8/17,15.58,2094480,32618363.8
2020/8/14,15.42,1249930,19129837
2020/8/13,15.33,1886900,29089220
2020/8/12,15.45,2371884,36382927.28
2020/8/11,15.6,3479020,55611941.3
2020/8/10,16.4,3531850,58302676.1
2020/8/7,16.55,8089954,131255897
2020/8/6,16.25,5320790,86189024.3
2020/8/5,16.38,5971480,97455432.42
2020/8/4,16.29,6861874,111979746.8
2020/8/3,16.58,3108006,50747597.26
2020/7/31,15.8,1805722,28484034.74
2020/7/30,15.75,3599410,57208324.9
2020/7/29,15.97,4235120,66798143.2
2020/7/28,15.33,2556890,38900271
2020/7/27,14.98,1912110,28693177.2
2020/7/24,15.12,3148370,49095754.95
2020/7/23,15.83,4044610,64298913.15
2020/7/22,16.35,7063430,115280377.3
2020/7/21,17,10950130,194543485.6
2020/7/20,0,0,0
2020/7/17,0,0,0
2020/7/16,0,0,0
2020/7/15,0,0,0
2020/7/14,0,0,0
2020/7/13,0,0,0
2020/7/10,0,0,0
2020/7/9,17.38,3650170,62709808.8
2020/7/8,16.82,2206230,37092566.8
2020/7/7,16.62,3392005,57300657.6
2020/7/6,16.92,4071911,67495282.28
2020/7/3,15.78,1939680,30608883.7
2020/7/2,15.79,2429738,38700309.84
2020/7/1,16.11,1628140,26227343.6
2020/6/30,16.31,1963578,31750652.8
2020/6/29,16,2950208,47241019.84
2020/6/24,15.87,2732160,43635674.6
2020/6/23,16.23,3240762,51072117.54
2020/6/22,15.46,1721950,26805007.4
2020/6/19,15.56,916310,14289094.3
2020/6/18,15.69,1310200,20461160.2
2020/6/17,15.72,2059030,32021202.7
2020/6/16,15.74,1928571,30355996.11
2020/6/15,15.71,4110250,66037312.4
2020/6/12,16.29,3543900,57808431.1
2020/6/11,16.38,3791257,61509486.56
2020/6/10,15.87,2275260,35880698.8
2020/6/9,15.73,3594444,55932522.62
2020/6/8,15.45,2425704,36961152.4
2020/6/5,14.93,1438820,21525215.4
2020/6/4,14.85,1697020,25249150.5
2020/6/3,14.67,1728120,25437214.7
2020/6/2,14.58,1124080,16384488.8
2020/6/1,14.55,1454200,21088147.9
2020/5/29,14.28,1180540,16879653.5
2020/5/28,14.18,1284800,18206532
2020/5/27,14.3,1225790,17644003
2020/5/26,14.54,1457576,21152279.04
2020/5/25,14.48,1475657,21211321.05
2020/5/22,14.37,3097610,44483810.8
2020/5/21,14.26,1076090,15328770.7
2020/5/20,14.18,1058550,14957291.63
2020/5/19,14.15,1014800,14249942.8
2020/5/18,13.99,1098257,15369929.4
2020/5/15,14.05,1318860,18712103.3
2020/5/14,14.31,2350920,33678786.92
2020/5/13,14.38,1551430,22319102.4
2020/5/12,14.55,1398901,20239234.48
2020/5/11,14.57,1872250,27246527.2
2020/5/8,14.46,2371382,34383780.74
2020/5/7,14.26,2923386,41921877.16
2020/5/6,14.34,2486582,35469988.76
2020/4/30,14.18,2621210,37306624.2
2020/4/29,14.06,2999642,42396374.54
2020/4/28,14.14,3237520,45634323.9
2020/4/27,14.58,3051583,44543669.5
2020/4/24,14.89,4890130,73998034.6
2020/4/23,15.01,2029100,30434074.5
2020/4/22,14.97,3492420,52176974.6
2020/4/21,14.88,4721810,71185093.6
2020/4/20,14.94,5326592,79684639.9
2020/4/17,14.78,5898490,87586016.83
2020/4/16,14.73,3135780,45807547.6
